name,assignment_id,Class,dataset,rscore,rscore2,Rscore,x,y,farea,fprop,cntry,year,label_group,usage,label,image
ZM0051749,1288.0,2,v2.0.0,,,0.8117408906882592,30.9415,-8.8925,0.2791852977705556,0.2205636160714285,ZM,2017,3,train,3cl/v2-0-0/labels/ZM0051749_1288_2017-08.tif,3cl/v2-0-0/images/ZM0051749_2017-08.tif
ZM1101510,1320.0,2,v2.0.0,,,0.8117408906882592,26.5565,-13.2525,0.6036238101516803,0.088428731,ZM,2022,3,train,3cl/v2-0-0/labels/ZM1101510_1320_2022-06.tif,3cl/v2-0-0/images/ZM1101510_2022-06.tif
ZM1363134,1326.0,2,v2.0.0,,,0.6625,29.0515,-13.8625,1.318766920571583,0.744140625,ZM,2018,3,train,3cl/v2-0-0/labels/ZM1363134_1326_2018-08.tif,3cl/v2-0-0/images/ZM1363134_2018-08.tif
ZM1488720,1329.0,2,v2.0.0,1.0,0.0,0.6625,29.2365,-14.1475,1.9323095067173823,0.4106146364795918,ZM,2020,3,train,3cl/v2-0-0/labels/ZM1488720_1329_2020-07.tif,3cl/v2-0-0/images/ZM1488720_2020-07.tif
ZM1552842,1330.0,2,v2.0.0,1.0,0.0,0.6625,31.4215,-14.2975,0.4161288761880578,0.6189014668367347,ZM,2018,3,train,3cl/v2-0-0/labels/ZM1552842_1330_2018-02.tif,3cl/v2-0-0/images/ZM1552842_2018-02.tif
ZM0646110,1387.0,2,v2.0.0,,,0.7282051282051282,33.1665,-11.8775,0.5974829683963919,0.7292330994897959,ZM,2020,3,train,3cl/v2-0-0/labels/ZM0646110_1387_2020-09.tif,3cl/v2-0-0/images/ZM0646110_2020-09.tif
ZM1686111,1397.0,2,v2.0.0,,,0.7282051282051282,27.6815,-14.6375,1.0377893758860255,0.3523198341836734,ZM,2017,3,train,3cl/v2-0-0/labels/ZM1686111_1397_2017-08.tif,3cl/v2-0-0/images/ZM1686111_2017-08.tif
ZM1868563,1408.0,2,v2.0.0,,,0.7282051282051282,28.4665,-15.1675,16.860482805114984,0.4727558992346938,ZM,2022,3,train,3cl/v2-0-0/labels/ZM1868563_1408_2022-06.tif,3cl/v2-0-0/images/ZM1868563_2022-06.tif
ZM1856835,1412.0,2,v2.0.0,,,0.7282051282051282,27.5315,-15.1325,0.490893603,0.052315848,ZM,2020,3,train,3cl/v2-0-0/labels/ZM1856835_1412_2020-07.tif,3cl/v2-0-0/images/ZM1856835_2020-07.tif
ZM2061144,1414.0,2,v2.0.0,,,0.7282051282051282,28.2265,-15.7575,0.1709270273857703,0.1544164540816326,ZM,2017,3,train,3cl/v2-0-0/labels/ZM2061144_1414_2017-08.tif,3cl/v2-0-0/images/ZM2061144_2017-08.tif
