epoch,train_loss,val_loss,lr,overall_accuracy,mean_accuracy,mean_iou,mean_precision,mean_recall,mean_f1_score
1,0.6653757340029667,0.6959470054134727,0.02,0.7938080880202871,0.6766256921952061,0.5148367632656926,0.6348645926924426,0.6766256921952061,0.6402799334345315
2,0.6550733014156944,0.6865496942773461,0.02,0.7984400050163346,0.6768393557615981,0.5194169561629224,0.6395304109386069,0.6768393557615981,0.644898029979613
3,0.6454247769556547,0.6906396942213178,0.0196,0.7999657017574816,0.6721187774227796,0.5191173975129368,0.6404792307250461,0.6721187774227796,0.6444505174251692
4,0.6390171471394991,0.6753740236163139,0.0196,0.785106149673308,0.6979537403476795,0.5134462622860041,0.6324042436066267,0.6979537403476795,0.6394230715189358
5,0.6306170287885164,0.6959750084206462,0.0196,0.7919820256412842,0.6627882596696799,0.508139654680502,0.6402663405730694,0.6627882596696799,0.6361738082475469
6,0.6214993752931294,0.6914694365113974,0.019208,0.796893039268573,0.6747022513263817,0.520345391991033,0.6322042860928337,0.6747022513263817,0.6459227043958187
7,0.613438209734465,0.6833485988900065,0.019208,0.7884386879134064,0.6785349713735593,0.5118447697892857,0.6307697435087001,0.6785349713735593,0.6394443893315646
8,0.6074003909763537,0.7165854871273041,0.019208,0.8022881985056869,0.6317789528461287,0.5081408369732412,0.648608071073337,0.6317789528461287,0.6339919238410004
9,0.6016582934479965,0.703218150883913,0.018823839999999998,0.7954276834869323,0.6403407823332911,0.5043011572612592,0.6468589535641817,0.6403407823332911,0.6327846025208882
10,0.5944650053977967,0.7010180121287704,0.018823839999999998,0.7952197986408002,0.6479165875354388,0.5075562257237286,0.6416329773786128,0.6479165875354388,0.635446747675844
